[2020-03-15 18:07:11,311] INFO [GroupMetadataManager brokerId=0] Removed 0 expired offsets in 0 milliseconds. (kafka.coordinator.group.GroupMetadataManager)
[2020-03-15 18:13:38,350] INFO [GroupCoordinator 0]: Member[group.instance.id None, member.id consumer-console-consumer-49630-1-4725d4ef-4480-4555-809a-fbabe16cb362] in group console-consumer-49630 has left, removing it from the group (kafka.coordinator.group.GroupCoordinator)
[2020-03-15 18:13:38,360] INFO [GroupCoordinator 0]: Preparing to rebalance group console-consumer-49630 in state PreparingRebalance with old generation 1 (__consumer_offsets-3) (reason: removing member consumer-console-consumer-49630-1-4725d4ef-4480-4555-809a-fbabe16cb362 on LeaveGroup) (kafka.coordinator.group.GroupCoordinator)
[2020-03-15 18:13:38,364] INFO [GroupCoordinator 0]: Group console-consumer-49630 with generation 2 is now empty (__consumer_offsets-3) (kafka.coordinator.group.GroupCoordinator)
[2020-03-15 18:13:40,583] INFO Terminating process due to signal SIGHUP (org.apache.kafka.common.utils.LoggingSignalHandler)
[2020-03-15 18:13:40,609] INFO [KafkaServer id=0] shutting down (kafka.server.KafkaServer)
[2020-03-15 18:13:40,616] INFO [KafkaServer id=0] Starting controlled shutdown (kafka.server.KafkaServer)
[2020-03-15 18:13:41,734] INFO [KafkaServer id=0] Controlled shutdown succeeded (kafka.server.KafkaServer)
[2020-03-15 18:13:41,740] INFO [/config/changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2020-03-15 18:13:41,741] INFO [/config/changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2020-03-15 18:13:41,742] INFO [/config/changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2020-03-15 18:13:41,742] INFO [SocketServer brokerId=0] Stopping socket server request processors (kafka.network.SocketServer)
[2020-03-15 18:13:41,761] INFO [SocketServer brokerId=0] Stopped socket server request processors (kafka.network.SocketServer)
[2020-03-15 18:13:41,763] INFO [data-plane Kafka Request Handler on Broker 0], shutting down (kafka.server.KafkaRequestHandlerPool)
[2020-03-15 18:13:41,765] INFO [data-plane Kafka Request Handler on Broker 0], shut down completely (kafka.server.KafkaRequestHandlerPool)
[2020-03-15 18:13:41,768] INFO [ExpirationReaper-0-AlterAcls]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:41,828] INFO [ExpirationReaper-0-AlterAcls]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:41,829] INFO [ExpirationReaper-0-AlterAcls]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:41,830] INFO [KafkaApi-0] Shutdown complete. (kafka.server.KafkaApis)
[2020-03-15 18:13:41,832] INFO [ExpirationReaper-0-topic]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:41,909] INFO Unable to read additional data from server sessionid 0x10019de15e10000, likely server has closed socket, closing socket connection and attempting reconnect (org.apache.zookeeper.ClientCnxn)
[2020-03-15 18:13:42,033] INFO [ExpirationReaper-0-topic]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,033] INFO [ExpirationReaper-0-topic]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,036] INFO [TransactionCoordinator id=0] Shutting down. (kafka.coordinator.transaction.TransactionCoordinator)
[2020-03-15 18:13:42,037] INFO [ProducerId Manager 0]: Shutdown complete: last producerId assigned 0 (kafka.coordinator.transaction.ProducerIdManager)
[2020-03-15 18:13:42,038] INFO [Transaction State Manager 0]: Shutdown complete (kafka.coordinator.transaction.TransactionStateManager)
[2020-03-15 18:13:42,038] INFO [Transaction Marker Channel Manager 0]: Shutting down (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2020-03-15 18:13:42,038] INFO [Transaction Marker Channel Manager 0]: Stopped (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2020-03-15 18:13:42,038] INFO [Transaction Marker Channel Manager 0]: Shutdown completed (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[2020-03-15 18:13:42,041] INFO [TransactionCoordinator id=0] Shutdown complete. (kafka.coordinator.transaction.TransactionCoordinator)
[2020-03-15 18:13:42,043] INFO [GroupCoordinator 0]: Shutting down. (kafka.coordinator.group.GroupCoordinator)
[2020-03-15 18:13:42,044] INFO [ExpirationReaper-0-Heartbeat]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,141] INFO [ExpirationReaper-0-Heartbeat]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,141] INFO [ExpirationReaper-0-Heartbeat]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,141] INFO [ExpirationReaper-0-Rebalance]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,236] INFO [ExpirationReaper-0-Rebalance]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,236] INFO [ExpirationReaper-0-Rebalance]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-03-15 18:13:42,238] INFO [GroupCoordinator 0]: Shutdown complete. (kafka.coordinator.group.GroupCoordinator)
[2020-03-15 18:13:42,239] INFO [ReplicaManager broker=0] Shutting down (kafka.server.ReplicaManager)
[2020-03-15 18:13:42,244] INFO [LogDirFailureHandler]: Shutting down (kafka.server.ReplicaManager$LogDirFailureHandler)
[2020-03-15 18:13:42,244] INFO [LogDirFailureHandler]: Stopped (kafka.server.ReplicaManager$LogDirFailureHandler)
[2020-03-15 18:13:42,244] INFO [LogDirFailureHandler]: Shutdown completed (kafka.server.ReplicaManager$LogDirFailureHandler)
[2020-03-15 18:13:42,245] INFO [ReplicaFetcherManager on broker 0] shutting down (kafka.server.ReplicaFetcherManager)
